# Runtime LR CIFAR-10 inner-iteration sweep
# started_utc=2026-05-05T13:41:59Z
# repo_root=/mnt/lts4/scratch/students/aabdolla/LAT
# cifar_dir=/mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10
# python=Python 3.10.12
# k_values=5 10 25 50 100 200
# seeds=2022
# epochs=10
# eps_ent=0.2
# num_samples=16
# batch_size=256
# pgd_steps=20
# pgd_restarts=5
# ro_epsilon_level=0.04
# npf_hidden=512 512 256 128 64
# npf_outer_rank=8
# npf_inner_rank=2
# npf_activation=softplus
# npf_softplus_beta=10.0
# npf_init_eps=1e-4
# npf_lr_B=1e-3
# npf_weight_decay_B=1e-4
# npf_bb_alpha0=2e-4
# npf_bb_alpha_min=1e-7
# npf_bb_alpha_max=0.25
# npf_bb_ls_c=1e-4
# npf_bb_ls_shrink=0.5
# npf_bb_ls_max_steps=15
# feature_cache=/mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth
# data_dir=/mnt/lts4/scratch/data
status	family	k	seed	started_utc	ended_utc	elapsed_seconds	out_dir	log_file	time_file	command
completed	wrm_style	5	2022	2026-05-05T13:41:59Z	2026-05-05T13:46:17Z	258	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style/K_5/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_K5_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_K5_seed2022.time.txt	python CIFAR10_LogReg.py --methods WRM Dual WFR RO --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style/K_5/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 5 --ro_pgd_steps 5
completed	icnn_style	5	2022	2026-05-05T13:46:17Z	2026-05-05T14:11:19Z	1502	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/icnn_style/K_5/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/icnn_style_K5_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/icnn_style_K5_seed2022.time.txt	python CIFAR10_LogReg.py --methods NPF NN-DRO --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/icnn_style/K_5/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --icnn_omega_steps_per_batch 5 --inner_steps_npf 5 --nn_dro_omega_steps_per_batch 5 --npf_hidden 512 512 256 128 64 --npf_outer_rank 8 --npf_inner_rank 2 --npf_activation softplus --npf_elu_alpha 1.0 --npf_softplus_beta 10.0 --npf_init_eps 1e-4 --npf_lr_B 1e-3 --npf_weight_decay_B 1e-4 --npf_bb_alpha0 2e-4 --npf_bb_alpha_min 1e-7 --npf_bb_alpha_max 0.25 --npf_bb_ls_c 1e-4 --npf_bb_ls_shrink 0.5 --npf_bb_ls_max_steps 15
completed	wrm_style	10	2022	2026-05-05T14:11:19Z	2026-05-05T14:15:56Z	277	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style/K_10/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_K10_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_K10_seed2022.time.txt	python CIFAR10_LogReg.py --methods WRM Dual WFR RO --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style/K_10/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 10 --ro_pgd_steps 10
completed	icnn_style	10	2022	2026-05-05T14:15:56Z	2026-05-05T15:05:09Z	2953	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/icnn_style/K_10/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/icnn_style_K10_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/icnn_style_K10_seed2022.time.txt	python CIFAR10_LogReg.py --methods NPF NN-DRO --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/icnn_style/K_10/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --icnn_omega_steps_per_batch 10 --inner_steps_npf 10 --nn_dro_omega_steps_per_batch 10 --npf_hidden 512 512 256 128 64 --npf_outer_rank 8 --npf_inner_rank 2 --npf_activation softplus --npf_elu_alpha 1.0 --npf_softplus_beta 10.0 --npf_init_eps 1e-4 --npf_lr_B 1e-3 --npf_weight_decay_B 1e-4 --npf_bb_alpha0 2e-4 --npf_bb_alpha_min 1e-7 --npf_bb_alpha_max 0.25 --npf_bb_ls_c 1e-4 --npf_bb_ls_shrink 0.5 --npf_bb_ls_max_steps 15
completed	wrm_style	25	2022	2026-05-05T15:05:09Z	2026-05-05T15:11:01Z	352	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style/K_25/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_K25_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_K25_seed2022.time.txt	python CIFAR10_LogReg.py --methods WRM Dual WFR RO --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style/K_25/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 25 --ro_pgd_steps 25
completed	icnn_style	25	2022	2026-05-05T15:11:01Z	2026-05-05T17:20:31Z	7770	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/icnn_style/K_25/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/icnn_style_K25_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/icnn_style_K25_seed2022.time.txt	python CIFAR10_LogReg.py --methods NPF NN-DRO --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/icnn_style/K_25/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --icnn_omega_steps_per_batch 25 --inner_steps_npf 25 --nn_dro_omega_steps_per_batch 25 --npf_hidden 512 512 256 128 64 --npf_outer_rank 8 --npf_inner_rank 2 --npf_activation softplus --npf_elu_alpha 1.0 --npf_softplus_beta 10.0 --npf_init_eps 1e-4 --npf_lr_B 1e-3 --npf_weight_decay_B 1e-4 --npf_bb_alpha0 2e-4 --npf_bb_alpha_min 1e-7 --npf_bb_alpha_max 0.25 --npf_bb_ls_c 1e-4 --npf_bb_ls_shrink 0.5 --npf_bb_ls_max_steps 15
completed	wrm_style	50	2022	2026-05-05T17:20:31Z	2026-05-05T17:27:47Z	436	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style/K_50/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_K50_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_K50_seed2022.time.txt	python CIFAR10_LogReg.py --methods WRM Dual WFR RO --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style/K_50/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 50 --ro_pgd_steps 50
completed	icnn_style	50	2022	2026-05-05T17:27:47Z	2026-05-05T21:26:48Z	14341	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/icnn_style/K_50/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/icnn_style_K50_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/icnn_style_K50_seed2022.time.txt	python CIFAR10_LogReg.py --methods NPF NN-DRO --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/icnn_style/K_50/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --icnn_omega_steps_per_batch 50 --inner_steps_npf 50 --nn_dro_omega_steps_per_batch 50 --npf_hidden 512 512 256 128 64 --npf_outer_rank 8 --npf_inner_rank 2 --npf_activation softplus --npf_elu_alpha 1.0 --npf_softplus_beta 10.0 --npf_init_eps 1e-4 --npf_lr_B 1e-3 --npf_weight_decay_B 1e-4 --npf_bb_alpha0 2e-4 --npf_bb_alpha_min 1e-7 --npf_bb_alpha_max 0.25 --npf_bb_ls_c 1e-4 --npf_bb_ls_shrink 0.5 --npf_bb_ls_max_steps 15
completed	wrm_style	100	2022	2026-05-05T21:26:48Z	2026-05-05T21:37:37Z	649	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style/K_100/seed_2022	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/logs/wrm_style_K100_seed2022.log	/mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/time/wrm_style_K100_seed2022.time.txt	python CIFAR10_LogReg.py --methods WRM Dual WFR RO --epochs 10 --eps_ent 0.2 --num_samples 16 --batch_size 256 --pgd_steps 20 --pgd_restarts 5 --ro_epsilon_level 0.04 --num_workers 2 --seed 2022 --out_dir /mnt/lts4/scratch/students/aabdolla/LAT/Runtime-LR-CIFAR10/results/wrm_style/K_100/seed_2022 --feature_cache /mnt/lts4/scratch/students/aabdolla/LAT/Logistic_Regression_CIFAR10/data/cifar10_resnet50_features.pth --data_dir /mnt/lts4/scratch/data --inner_steps 100 --ro_pgd_steps 100
